id,title,category,tags,scene,pub_time,modify_time,expire_time,status,weight,ext_fields,event_count,event_value_sum,event_value_mean,event_active_days,event_unique_scene_count,event_unique_user_count,event_first_time,event_last_time,event_recency_seconds,event_count_1d,event_count_7d,event_count_30d,event_click_count,event_expose_count,event_buy_count,event_collect_count,event_stay_count,event_click_rate
item_93,title_93,category_13,tags_49,scene_0,1667141337,1667089621,1667615683,1,10,{},7.0,7.0,1.0,5.0,3.0,7.0,1667051967.0,1667494723.0,142308.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_94,title_94,category_57,tags_67,scene_1,1667223727,1667412455,1667340129,1,5,{},9.0,9.0,1.0,6.0,3.0,9.0,1667043557.0,1667622215.0,14816.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_95,title_95,category_91,tags_2,scene_1,1667070433,1667508194,1667400121,1,5,{},5.0,5.0,1.0,4.0,3.0,5.0,1667160326.0,1667548271.0,88760.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
item_96,title_96,category_10,tags_25,scene_1,1667450449,1667295209,1667148131,1,10,{},7.0,7.0,1.0,4.0,3.0,7.0,1667087675.0,1667406524.0,230507.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_97,title_97,category_11,tags_87,scene_0,1667197177,1667402429,1667347746,1,5,{},16.0,16.0,1.0,7.0,3.0,16.0,1667040362.0,1667523010.0,114021.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0
item_98,title_98,category_79,tags_56,scene_0,1667401551,1667241277,1667166425,1,5,{},5.0,5.0,1.0,5.0,3.0,5.0,1667067224.0,1667563234.0,73797.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
item_99,title_99,category_75,tags_4,scene_2,1667436807,1667441297,1667511104,1,5,{},14.0,14.0,1.0,6.0,3.0,14.0,1667040983.0,1667555894.0,81137.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0
item_100,title_100,category_61,tags_92,scene_1,1667339053,1667314963,1667188686,1,1,{},9.0,9.0,1.0,4.0,3.0,9.0,1667120982.0,1667558645.0,78386.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_101,title_101,category_77,tags_19,scene_2,1667498503,1667251321,1667248019,1,10,{},12.0,12.0,1.0,5.0,3.0,12.0,1667164104.0,1667607707.0,29324.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_102,title_102,category_46,tags_32,scene_2,1667100015,1667191295,1667528425,1,1,{},6.0,6.0,1.0,4.0,2.0,6.0,1667050168.0,1667465952.0,171079.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_103,title_103,category_70,tags_100,scene_1,1667110272,1667291024,1667614414,1,5,{},10.0,10.0,1.0,6.0,3.0,10.0,1667098922.0,1667545863.0,91168.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_104,title_104,category_40,tags_47,scene_1,1667076696,1667399178,1667222534,1,10,{},6.0,6.0,1.0,3.0,2.0,6.0,1667035667.0,1667605755.0,31276.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_105,title_105,category_47,tags_53,scene_0,1667181357,1667545113,1667152033,1,1,{},8.0,8.0,1.0,6.0,3.0,8.0,1667066815.0,1667609579.0,27452.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_106,title_106,category_72,tags_25,scene_0,1667118189,1667252059,1667326160,1,1,{},13.0,13.0,1.0,8.0,3.0,13.0,1667075152.0,1667627503.0,9528.0,3.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_107,title_107,category_5,tags_1,scene_1,1667261846,1667209011,1667593689,1,10,{},15.0,15.0,1.0,5.0,3.0,15.0,1667036885.0,1667589456.0,47575.0,4.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0
item_108,title_108,category_59,tags_75,scene_1,1667366536,1667507078,1667261588,1,10,{},15.0,15.0,1.0,7.0,3.0,15.0,1667111140.0,1667608122.0,28909.0,3.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0
item_109,title_109,category_69,tags_95,scene_1,1667214344,1667525707,1667175317,1,5,{},15.0,15.0,1.0,6.0,3.0,15.0,1667196703.0,1667631053.0,5978.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0
item_110,title_110,category_7,tags_77,scene_0,1667178924,1667251455,1667105783,1,1,{},10.0,10.0,1.0,5.0,3.0,10.0,1667126234.0,1667508046.0,128985.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_111,title_111,category_26,tags_25,scene_0,1667511108,1667218177,1667235292,1,10,{},15.0,15.0,1.0,7.0,3.0,15.0,1667058847.0,1667542783.0,94248.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0
