scene,item,vector
scene_0,item_18,"[0.6427931306807518, 0.025707551074727556, 0.09426102060733432, 0.16852727926765831, 0.5955582665645215, -0.032848537484374114, 0.19994761947010314, 0.19994761947010314, -0.24279353792798242, 0.23279615695447728]"
scene_1,item_19,"[0.27900900531597966, -0.24800800472531528, 0.3823456739515278, 0.25834167158887006, -0.3740787404606839, -0.08060260153572744, 0.3596116068517071, -0.2294074043709167, -0.4567480753691223, 0.3327440730064647]"
scene_2,item_20,"[0.6471705036218387, 0.4308396226209993, 0.33545077628424663, 0.00794907052806269, -0.14308326950512892, -0.15262215413880417, -0.023847211584188156, -0.14785271182196655, 0.22893323120820622, 0.40540259693119857]"
scene_0,item_21,"[0.03767054588846949, 0.632651477893845, 0.2890107029932885, 0.4634744810197249, 0.2837239218409723, -0.3735992014303487, 0.08811301920527094, -0.2555277556952856, 0.06520363421190045, 0.05110555113905709]"
scene_1,item_22,"[-0.3747534516765286, -0.06508875739644972, 0.02958579881656808, -0.4536489151873767, -0.378698224852071, 0.08875739644970411, 0.00788954635108484, 0.3057199211045365, 0.5779092702169625, -0.2642998027613412]"
scene_2,item_23,"[0.08781243556319919, 0.1315384225269371, -0.4365956151957912, 0.4142060964678019, 0.6325039040656975, 0.21549911775689687, -0.30785588250985274, -0.2630768450538742, -0.03918165777398128, -0.02798689840998663]"
scene_0,item_24,"[0.3563283610848222, 0.20641378041903582, 0.0679336492518345, -0.13064163317660496, 0.4546328834545853, 0.31615275228738404, 0.6192413412571076, -0.23254210705435685, -0.12802880051307286, 0.21947794373669632]"
scene_1,item_25,"[0.6394260633573277, 0.19807811168907932, 0.16403343624251882, 0.10058654109211054, 0.020117308218422114, -0.4394858103101448, 0.09439660010182682, -0.32032944624718296, -0.3760389151597366, -0.26152500683948754]"
scene_2,item_26,"[-0.045749409003985685, -0.32024586302789954, 0.09149881800797133, 0.6236366806332779, 0.3346930448186318, -0.1902212269113088, 0.02889436358146465, -0.37081099929546263, 0.21429986322919595, -0.4069289537722933]"
scene_0,item_27,"[-0.5666320913922737, 0.3650783944540823, -0.2928232955517118, 0.1007768484690956, -0.20915949682265134, 0.5400117917966635, -0.23958269636049154, -0.05894494910456538, -0.22817399653380144, -0.03802899942230029]"
scene_1,item_28,"[0.5009773526853275, -0.20386091407974363, 0.4077218281594873, -0.021687331285079096, -0.026024797542094903, -0.3535034999467895, -0.33181616866171043, -0.36434716558932906, -0.14096765335301426, 0.39037196313142397]"
scene_2,item_29,"[0.7850819702808686, -0.3761324508485697, -0.17008930681755174, -0.1327526297112599, 0.20051178445971546, 0.07329051431975808, -0.1631751073534236, 0.08988459303366556, 0.15902658767494673, 0.3000762567431604]"
scene_0,item_30,"[0.2064552461008126, 0.09647441406580022, 0.4109810039203091, 0.07139106640869215, 0.2643398945402927, 0.4399233281400492, 0.06946157812737619, 0.4534297461092613, -0.24504501172713267, -0.49009002345426533]"
scene_1,item_31,"[0.812629318461453, 0.11812412543571439, -0.20723530778195506, 0.08082177003496249, 0.263188840883083, 0.33779355168458675, 0.18651177700375957, 0.10983471312443621, -0.1222688315913535, -0.17615001161466184]"
scene_2,item_32,"[0.6116296656950911, -0.05469682294303069, -0.03750639287522104, 0.49070864011747506, 0.1422117396518797, 0.0843893839692473, -0.16096493608949022, 0.03750639287522102, -0.4828948082684707, 0.30473944211117077]"
scene_0,item_33,"[0.25868997001576804, 0.08485031016517196, 0.26282900953602023, 0.30214988497841705, -0.33733172090056157, 0.4263210705859856, 0.3973477939442197, -0.21316053529299286, 0.5153104202714098, -0.033112316162018304]"
scene_1,item_34,"[0.7023691985126508, -0.22245596941088325, -0.35767430375867504, -0.23408765408596213, 0.31987132856466877, -0.1715673489574132, 0.18756091538564668, -0.2747985504487382, -0.08578367447870662, -0.15702774311356468]"
scene_2,item_35,"[-0.35734429061458345, -0.13234973726466054, -0.7922077130556109, 0.2684808955940257, 0.00567213159705686, -0.1701639479117064, 0.1871803427028771, -0.2079781585587523, 0.12478689513525132, 0.1796175005734679]"
scene_0,item_36,"[-0.09070135356381175, 0.14419189540913668, 0.023256757324054262, 0.8000324519474683, 0.3628054142552472, -0.07674729916937921, 0.025582433056459748, 0.046513514648108586, 0.4349013619598155, -0.03023378452127056]"
scene_1,item_37,"[0.3749031213112386, -0.3749031213112386, 0.05202005032548286, 0.25471886711098507, 0.4340983509919605, 0.06098902451953165, -0.42512937679791174, 0.2870071742095606, -0.306738917436468, 0.31929548130813623]"
scene_2,item_38,"[0.04616451439413348, -0.7501733589046684, -0.3439256322362942, 0.10156193166709354, -0.09463725450797358, 0.16850047753858705, 0.34623385795600087, 0.1500346717809337, -0.24236370056920062, -0.2608295063268539]"
scene_0,item_39,"[0.07290262827885131, 0.41785652793975747, 0.38585049601245686, 0.42496897947915757, -0.012446790193950228, -0.18492374002440332, -0.47831236602465843, -0.34851012543060617, -0.10668677309100187, -0.3076135290790555]"
scene_1,item_40,"[0.19512961388513347, -0.37514981145961335, -0.11445248485208537, -0.5277531245957271, -0.31474433334323487, -0.20029184849114942, 0.0445092996646999, -0.454630703718006, 0.13670713468443535, 0.40376293267263463]"
scene_2,item_41,"[0.7061762432380669, -0.27869863605537953, 0.01257287079949082, -0.14668349266072608, 0.014668349266072585, 0.1969749758586893, -0.1487789711273079, 0.30803533458752475, -0.17182923425970772, 0.46519621958115975]"
scene_0,item_42,"[0.8220108922336383, -0.005572955201583969, 0.37896095370771127, 0.016718865604751946, 0.19783990965623158, -0.05294307441504798, 0.18390752165227164, -0.1337509248380157, -0.29258014808315946, -0.033437731209503975]"
scene_1,item_43,"[0.3954415440430311, 0.41479451080072616, -0.14340479369690537, 0.10022915688493382, 0.3299852242057822, 0.04163364978297252, 0.3592829777567628, -0.5381534731206448, 0.04163364978297252, -0.3315272112347811]"
scene_2,item_44,"[0.174474845773194, -0.639741101168378, -0.5670432487628805, 0.009693046987399699, 0.20597724848224294, 0.28594488612829005, -0.15024222830469475, 0.24717269817869145, -0.10177699336769651, 0.14297244306414508]"
scene_0,item_45,"[0.025691399407022645, -0.1377993240922123, 0.4694519346192318, 0.26625632112732545, 0.049047217049770477, 0.30362562935572196, 0.1611551417349602, -0.5675463687187728, -0.20786677702045586, -0.4507672805050335]"
scene_1,item_46,"[0.27354958571569127, -0.2681941198333358, -0.09691048027591129, 0.13973139016526734, 0.31326876182213176, -0.7527465212128921, 0.3898956532030848, 0.004507464198879609, -0.036059713591036775, 0.07888062348039289]"
scene_2,item_47,"[0.017879998780981447, -0.27813331437082267, 0.3854133070567114, 0.14303999024785163, 0.4728266344303986, -0.3675333082757299, -0.4370666368684356, 0.06953332859270564, 0.44501330299331626, 0.02781333143708228]"
scene_0,item_48,"[0.3351717781090037, 0.06348181893803714, -0.09169596068827589, 0.5237250062388066, -0.1587045473450929, 0.42497551011297097, 0.5660462188641647, -0.05819166735986742, -0.26627096276787815, -0.02116060631267903]"
scene_1,item_49,"[0.20267062622199533, -0.550062120314023, -0.1936548288745998, 0.17717356684271895, -0.6098066951795911, -0.07210552138947866, -0.008240631015940419, 0.1277297807470765, -0.3976104465191252, 0.1895345133666296]"
scene_2,item_50,"[0.45022066426847046, 0.19790068129109525, -0.4798653687943372, 0.026270001941295838, 0.626977379665594, -0.15061467779676277, 0.033275335792308035, -0.2627000194129583, 0.14010667702024443, -0.14711201087125667]"
scene_0,item_51,"[0.46510447562133267, -0.30382583112139633, -0.16725765450622326, -0.10894764651322798, 0.3268429395396839, 0.24705029702295353, 0.0629134296766528, 0.4158424254237294, -0.4910316462568022, 0.2562571403902687]"
scene_1,item_52,"[0.8182471183006166, -0.1093709145210824, 0.06325064936158983, -0.2398253788293614, -0.017130384202097223, 0.3017583063292515, 0.14626712664867644, -0.00922405303189854, -0.3689621212759407, 0.08960508659558557]"
scene_2,item_53,"[0.1920290952571987, 0.32109783141367654, 0.47535071121044276, 0.040924233415468525, -0.24554540049281154, -0.207769185032379, -0.18258504139209056, -0.6673798064676415, 0.21091720298741498, 0.07555243092086507]"
scene_0,item_54,"[0.12542947282654546, -0.4525298627467524, -0.568121729861412, 0.009837605711885923, -0.5361495112977828, 0.2606965513649769, 0.17953630424191813, 0.027053415707686223, 0.17461750138597507, -0.19429271280974697]"
scene_1,item_55,"[0.6547875973498075, -0.03802930729446616, -0.5628337479580992, -0.2738110125201564, 0.048677513336916695, 0.2935862523132788, -0.16732895209565113, 0.14907488459430737, 0.18101950272165893, 0.08062213146426829]"
scene_2,item_56,"[0.7191218089787372, -0.465686810219711, 0.11087781195707407, 0.11087781195707407, -0.1615648117088793, 0.06969462465873222, 0.1552289367399036, 0.41816774795239336, 0.08870224956565921, 0.060190812205268805]"
scene_0,item_57,"[0.5178356443354541, -0.22392892728019634, 0.2715138243272382, -0.04758489704704172, 0.4730498588794148, -0.11196446364009818, 0.2995049402372626, -0.43386229660538045, 0.04198667386503683, -0.29950494023726265]"
scene_1,item_58,"[-0.01814878057290067, 0.2978496951408363, 0.17337519567899431, 0.6638639971298244, -0.5630989261369046, 0.16892967784107135, 0.02222758918961466, 0.2519126774822994, -0.07705564252399745, -0.15707496360661025]"
scene_2,item_59,"[0.4554565424436902, -0.3114258823023014, -0.23258388678273148, 0.019710498879892534, -0.20498918835088198, 0.2897443335344196, 0.20498918835088192, 0.3055127326383336, -0.26609173487854865, 0.5558360684129683]"
scene_0,item_60,"[-0.22204513412773488, 0.5418958630498293, -0.5339656796881245, -0.007930183361704791, 0.4573072405249779, -0.10573577815606425, 0.031720733446819235, 0.15860366723409633, 0.2669828398440622, -0.23261871194334138]"
scene_1,item_61,"[0.15161379986920975, -0.5070639306736904, 0.14824460431656067, 0.015161379986920968, 0.6283549705690582, -0.1246602354480169, 0.005053793328973664, 0.010107586657947304, 0.2543742642250075, -0.4716873773708748]"
scene_2,item_62,"[0.7733994074595731, 0.0432353332893715, -0.2940002663677262, 0.2196354931100072, -0.33204735966237314, 0.09338831990504244, -0.24903551974677987, 0.0639882932682698, -0.2784355463835525, -0.05188239994724577]"
scene_0,item_63,"[0.08473213930279282, -0.4879251336523955, 0.32311486628536407, 0.2819122994436063, 0.2884179678923049, 0.008674224598264777, 0.043371122991324076, 0.2493839572001132, 0.01734844919652968, 0.6505668448698606]"
scene_1,item_64,"[0.4611255603554668, -0.2755178446638, -0.13775892233190007, -0.2955555060938946, 0.16531070679828005, 0.037570615181427285, 0.02755178446637994, 0.5209791971824582, -0.15779658376199457, 0.5284933202187437]"
scene_2,item_65,"[0.5891108092527176, -0.28085523276470914, 0.09789810970655574, 0.30653342547462537, 0.38356800360437415, -0.10110788379529531, 0.12518118946084178, 0.33542139227328116, -0.4252950667579881, 0.0641954817747907]"
scene_0,item_66,"[0.16290833642081168, 0.0169255414463181, -0.3956345313076855, 0.4210228434771627, -0.26446158509872036, 0.22214773148292505, 0.3046597460337258, -0.5627742530900767, 0.31523820943767455, -0.10578463403948811]"
scene_1,item_67,"[0.4518429940456082, -0.2116449553155929, 0.44156141756490597, -0.31213824345105423, 0.21621283204902295, -0.3014798644063841, -0.08374440677955114, 0.5024664406773067, -0.1187647950691816, 0.21773545762683297]"
scene_2,item_68,"[0.6200211333205492, 0.10694353730576245, 0.36440020119000543, 0.2832023302726672, -0.20200445935532918, 0.021784794636358972, 0.42183284159495193, -0.33865453480158114, -0.14259138307434996, -0.19210227997516596]"
scene_0,item_69,"[0.3428351521364563, -0.6593272867789062, 0.09326010964306897, 0.11277966747533918, 0.11928618675276266, -0.43810563134651, 0.1344680650667506, 0.18218253976785564, -0.4012353554411107, -0.0889224301247867]"
scene_1,item_70,"[0.2413687732605946, -0.03679618084164096, 0.3229886984988483, 0.09199045210410231, 0.2637059626984267, -0.3924925956441701, -0.5887388934662552, -0.4395099378307114, 0.05519427126246143, -0.24735210454658643]"
scene_2,item_71,"[0.19164342790143962, 0.176901625755175, -0.6027759099805964, 0.14578004344639423, 0.09991665899134883, -0.37345898770536945, 0.12776228526762642, 0.15560791154390397, 0.37345898770536945, 0.4668237346317119]"
scene_0,item_72,"[-0.20220302105445853, -0.32725727505953445, -0.4328909524521689, -0.3210435293305559, 0.25890607204077093, -0.6027333357109147, 0.23197984054853082, 0.012427491457957048, -0.07663619732406815, 0.26719106634607565]"
scene_1,item_73,"[-0.08720916833254255, -0.32769505676470534, 0.17970374080645135, -0.319766950552656, 0.1823464428771344, -0.005285404141366234, 0.23520048429079662, 0.29333992984582496, -0.23520048429079662, 0.7214576652964884]"
scene_2,item_74,"[0.5328268242818169, -0.07200864572451543, -0.06574702435716626, -0.12366702200514601, 0.4931026826787469, -0.16749837157659023, -0.04852756559695605, 0.504060520071608, 0.38665511943381103, -0.11897080597963415]"
scene_0,item_75,"[0.788291954486562, -0.13649465703366281, 0.16151867748983434, 0.21611654030329944, 0.32189989950438813, 0.16265613296511486, -0.02502402045617154, 0.2980133345234971, 0.16606849939095641, 0.2001921636493721]"
scene_1,item_76,"[0.6158319867445293, 0.06463504561968018, 0.341847574610753, -0.2025231429416646, 0.004309003041312038, -0.36482892416441703, 0.008618006082623994, 0.38350127067676903, 0.11490674776832029, 0.4064826202304332]"
scene_2,item_77,"[0.06150066152927355, 0.06396068799044445, -0.2164823285830428, 0.27798299011231625, -0.3468637310251027, 0.36654394271447016, 0.01722018522819663, -0.38376412794266684, -0.4157444719378891, -0.541205821457607]"
scene_0,item_78,"[0.4937052344902095, -0.2918284006751664, 0.18998224741940367, 0.3368757376921384, 0.35646153639516964, -0.18018934806788797, 0.0, -0.1233905318290972, 0.4641834292618419, -0.36233727600607907]"
scene_1,item_79,"[0.2558558621215338, -0.592983586328731, 0.1505034483067846, -0.3762586207669614, 0.2107048276294983, -0.00903020689840704, -0.2648860690199408, 0.2618760000538051, 0.09632220691634207, 0.4755908966494392]"
scene_2,item_80,"[0.057156050198598006, -0.5549672325109744, 0.09502863570393395, -0.42762886066770284, 0.047514317851967004, -0.15394638984037304, 0.344003661248241, 0.42952943338178157, -0.4048219880987587, -0.06461947227867505]"
scene_0,item_81,"[-0.15448756996741433, -0.10461249337492007, 0.3896436347442674, -0.3911597578366575, 0.3092891108475896, -0.1197737242988215, -0.4563530508094337, -0.5079012359506987, 0.016677354016291626, 0.28957951064651777]"
scene_1,item_82,"[0.43957832915553835, 0.17649735943366313, -0.27307138629359207, 0.01498562485757512, 0.4362481902982994, -0.254755622578778, 0.27640152515083094, 0.02331097200067255, -0.5977599248743874, 0.10656444343164567]"
scene_2,item_83,"[0.19399186796675294, 0.5200988873936222, -0.2608856155414953, -0.18395780583054155, 0.12375343301327342, 0.5050477941893051, 0.3679156116610832, 0.2792813961245495, -0.3060388951544465, 0.11204702718769352]"
scene_0,item_84,"[0.2191805428604784, -0.44623684828824517, 0.6669300721699316, 0.19401602099488918, 0.10670881154718906, 0.10185841102231681, 0.25707122781822817, 0.26192162834310045, -0.16248841758321966, -0.29587443201720603]"
scene_1,item_85,"[-0.13488058365450237, 0.13159331289598947, -0.13361782540208164, 0.6984568146017903, 0.022269637567013587, 0.48183397644993076, 0.2834317508529005, -0.2793827258407161, -0.25711308827370255, 0.040490250121842895]"
scene_2,item_86,"[-0.09895665960534328, 0.2303301559779542, 0.061421374927454475, 0.4862525515090144, -0.46919105847361037, 0.21156251363900977, 0.5033140445444184, 0.04947832980267164, -0.03924143398142926, -0.41800657936739843]"
scene_0,item_87,"[0.20723465611364053, 2.2727264705637984e-17, 0.565157400824009, 0.4656126313606892, -0.13647266781261583, 0.2906065044009819, 0.1364726678126158, -0.51859613768794, -0.15734495818395705, 0.07385579669859212]"
scene_1,item_88,"[0.1839443204059215, -0.3223970346899485, -0.2274580306094728, -0.045491606121894575, 0.13647481836568373, 0.106806379590535, 0.6902856755017915, -0.22943592652781603, -0.41140235101539435, -0.2828391163230836]"
scene_2,item_89,"[0.3250945154470033, -0.4469438467634084, -0.10557728663702555, 0.13725047262813328, -0.20411608749824958, -0.20763533038615037, 0.24282775926515887, -0.457501575427111, 0.5208479474093265, 0.20059684461034863]"
scene_0,item_90,"[0.08390354999261139, -0.47615264620806974, -0.19088057623319094, -0.5160068324545602, -0.13005050248854766, -0.2894672474745094, 0.17829504373429916, -0.02936624249741395, -0.5495682524516047, -0.16780709998522284]"
scene_1,item_91,"[0.4654145328229196, -0.4086973496115243, -0.12511143355454826, -0.3419712517157653, 0.4837642097442533, -0.45206931324376776, 0.1584744825024278, 0.07506686013272895, -0.10676175663321452, 0.056717183211395204]"
scene_2,item_92,"[0.40376122259291475, 0.3721243718969598, -0.00992331658391893, 0.3324311055612841, -0.21335130655425702, 0.32498861812334495, 0.2604870603278719, -0.05953989950351361, -0.4763191960281086, 0.3721243718969598]"
scene_0,item_93,"[0.5504607504154321, -0.14319418169590636, 0.19898412261638931, -0.1413345169985569, 0.347757298404344, 0.4109858981142247, 0.30126568097060813, -0.18782613443229274, 0.44817919206121337, 0.013017652881446037]"
scene_1,item_94,"[0.037720792456233124, -0.39201002987770517, 0.2470200188270471, -0.30072002291988337, -0.0035800002728557418, 0.16468001255136472, 0.31325002387487855, -0.6766200515697375, -0.24881001896347496, 0.22017001678062892]"
scene_2,item_95,"[0.22802754596430116, -0.24707161589214374, -0.10621770402839821, -0.48490690969486144, 0.17087195865437976, 0.13392667029667604, -0.39947093036767156, -0.37176196409939377, 0.5380157617090606, 0.07850873776012045]"
scene_0,item_96,"[0.49473530782319963, -0.3317754050864543, 0.35160980430357935, 0.18211584735723851, 0.27948471624130655, 0.010818763209340889, -0.4471755459860906, 0.23981591780705663, -0.04868443444203407, -0.3876723483347157]"
scene_1,item_97,"[-0.014412936739741642, -0.475626912411475, -0.1091265210294726, -0.48592186722557607, 0.4818038852999357, 0.12765743969485477, 0.16677826798843925, 0.3047306624973952, -0.09883156621537144, 0.38297231908456425]"
scene_2,item_98,"[0.05670748531501265, 0.1269167528478856, 0.010801425774288134, 0.21602851548576266, -0.5562734273758388, -0.21332815904219057, 0.4995659420608262, -0.5535730709322669, 0.09721283196859312, -0.11611532707359748]"
scene_0,item_99,"[0.4175035168136761, -0.07764888198437536, 0.32764040447065695, 0.3844566595811755, -0.48672591878010885, -0.23484052112347664, -0.143934512946647, -0.33710978032241, -0.09279988334718026, 0.35983628236661747]"
scene_1,item_100,"[0.12075423327972046, -0.6121948897352825, 0.13330050018429537, 0.03291370374920876, -0.09215837049778446, 0.1760883150582667, -0.3669877968036774, 0.11026090755984923, -0.41964972280241136, 0.47889438955098707]"
scene_2,item_101,"[0.44215998360456876, 0.08325303610007287, -0.3330121444002917, -0.04670292269028488, -0.008122247424397388, -0.060916855682980206, 0.2396062990197221, -0.3817456289466759, -0.310675963983199, 0.6172908042541994]"
scene_0,item_102,"[0.17033932382770403, -0.15898336890585713, 0.3338650747022999, 0.7017980141701406, 0.29525482796802033, -0.2611869632024796, -0.22939028942130807, 0.2225767164681999, 0.2861700640305428, 0.04769501067175716]"
scene_1,item_103,"[-0.5074033741875886, 0.22864473034378996, 0.015660597968752767, 0.5857063640313522, 0.025056956750004376, -0.10649206618751866, -0.4792142978438337, -0.166002338468779, -0.27249440465629754, 0.05951027228126036]"
scene_2,item_104,"[-0.251871356105792, -0.26498965590296863, -0.020989279675482666, 0.5745815311163379, -0.055096859148142024, 0.14692495772837874, 0.36731239432094653, -0.41191461363134735, -0.18627985711990866, 0.4145382735907826]"
scene_0,item_105,"[0.33881906071936657, -0.01168341588687467, -0.038944719622915625, 0.4829145233241548, 0.04283919158520734, 0.2959798691341593, -0.5413316027585283, -0.23756278969978578, -0.4595476915504053, 0.015577887849166172]"
scene_1,item_106,"[0.32382760896747664, -0.2286257235622245, 0.018930792396872106, -0.3800720627372013, 0.5184124687143434, 0.027668081195428424, 0.2868743155526001, -0.2868743155526001, -0.308717537548991, 0.41065257353214846]"
scene_2,item_107,"[0.24254907211609245, 0.46911174502579994, 0.23206059727340106, 0.28446137730287874, 0.3443479830508531, -0.15221178960943504, 0.12476376197494685, -0.1596976153279319, 0.4441589926308106, -0.45414009358880636]"
scene_0,item_108,"[0.17380159666576395, -0.0528961381156673, -0.06612017264458407, 0.047228694746131485, -0.4042776270268857, -0.0037782955796905595, 0.734878490249806, 0.2777047251072532, -0.02644806905783365, 0.4231691049253382]"
scene_1,item_109,"[0.3130256013038304, 0.3423624151429601, 0.2400066415435185, 0.04235411321356203, 0.16412218870255307, -0.26294845286753127, 0.2435361509779819, -0.5647215095141611, -0.18000498115763885, -0.46766000006641467]"
scene_2,item_110,"[-0.3225533378336181, 0.49548856112995543, -0.5615537026139495, -0.03497566313858508, -0.16127666891680903, -0.011658554379528322, -0.1632197613133971, 0.32838261502338223, 0.31672406064385383, -0.2700898431257404]"
scene_0,item_111,"[0.674038916184214, 0.11777701657105176, 0.43249265101500955, 0.1332231826787306, -0.41125417261695113, 0.11970778733451158, 0.29347715604589936, -0.21238478398058505, -0.05792312290379588, 0.0946077674095333]"
scene_1,item_112,"[0.4320263590908281, 0.0018354712108879666, -0.20006636198678343, 0.4680451587764199, 0.07525431964640476, -0.46437421635464404, -0.00550641363266377, 0.17987617866701625, -0.07341884843551684, 0.5432994784228246]"
scene_2,item_113,"[0.392702960041497, 0.1372094679663062, 0.30596134236164824, 0.2018714011458298, 0.3343495081477806, -0.11039842250162568, 0.6024599627945858, -0.44947929161376166, -0.04258224867919845, -0.04258224867919848]"
scene_0,item_114,"[0.23146261910832552, 0.268009348441219, 0.06613217688809296, 0.10964018799868046, 0.3532850502179705, -0.43159947021702805, -0.11834179022079797, 0.5133945311049325, -0.5168751719937794, -0.048728972443858]"
scene_1,item_115,"[-0.3479837806670368, -0.009885902859859021, 0.047452333727323256, 0.5555877407240757, -0.2135355017729544, 0.0316348891515488, 0.5575649212960476, -0.29657708579576997, -0.2352844880646442, 0.2590106549283058]"
scene_2,item_116,"[-0.08106624119207402, 0.3902442295187738, 0.4534266285837182, 0.16353091522691474, 0.23414653771126429, 0.5073174983744061, 0.0483159522261339, 0.41068559392213827, -0.33821166558293736, 0.10592343372652434]"
scene_0,item_117,"[0.6406398651011982, -0.25840691462921483, 0.22012440875822004, -0.00957062646774873, 0.3876103719438222, 0.05981641542342931, 0.5048505461737438, 0.23926566169371735, 0.09092095144361263, -0.007177969850811497]"
scene_1,item_118,"[0.4584084794019007, 0.27878028503292446, 0.12793341847401324, -0.2482290209197272, -0.45445005368380825, 0.45826896169795794, 0.15657522858013562, -0.15657522858013567, -0.28259919304707404, 0.2978748251036727]"
scene_2,item_119,"[0.11867381313317532, -0.259598966228821, 0.32388061500929094, 0.2744331928704679, -0.2843226772982326, 0.4722228814257601, -0.11372907091929303, -0.22993051294552727, 0.6057309212005824, 0.042030308817999615]"
scene_0,item_120,"[0.4219301301999119, -0.7072124341418977, -0.1414424868283795, -0.3164475976499339, -0.07431723884202997, -0.09589321140907088, -0.17260778053632758, -0.09829054169429764, -0.2900769645124394, -0.25171967994881106]"
scene_1,item_121,"[0.46767411432531736, -0.4832474545361617, -0.056454141885065603, 0.07677763296368922, 0.04064698215724723, 0.04967964485885772, 0.41776064994948553, 0.39517899319545924, -0.39969532454626455, 0.21000940781244404]"
scene_2,item_122,"[0.16347177535438492, 0.2315850150853786, -0.07005933229473636, 0.5877199542502887, -0.08173588767719248, 0.09341244305964852, 0.5740973063040898, 0.4592778450432719, 0.10898118356958994, 0.03892185127485358]"
scene_0,item_123,"[-0.31802570135717856, -0.3062207780437427, -0.23455208531010083, -0.3453127922620928, -0.11727604265505034, -0.534257527650785, -0.06189568917905434, 0.49190784558090583, 0.21826374605245485, -0.19546007109175056]"
scene_1,item_124,"[-0.36140262240693427, -0.03662864416286494, 0.24907478030748179, 0.4224503626783759, -0.06593155949315695, 0.1220954805428832, -0.5885002162166971, -0.5103591086692518, 0.03662864416286501, -0.012209548054288314]"
